date,cases,new_hosp
01-Jun-2020,1.37856285825408,1.31633271461758
02-Jun-2020,1.34645225936877,1.31947691783345
03-Jun-2020,1.36136102067963,1.28657487540385
04-Jun-2020,1.28122255656887,1.25280170870657
05-Jun-2020,1.21891568569797,1.24921369503423
06-Jun-2020,1.25868476705269,1.30904507895315
07-Jun-2020,1.20303265307653,1.18900058823715
08-Jun-2020,1.22892286701884,1.33317861578139
09-Jun-2020,1.2619090824902,1.39083246402896
10-Jun-2020,1.23104817960539,1.47074512976124
11-Jun-2020,1.2200181467262,1.52396708672344
12-Jun-2020,1.25988203198956,1.40728128386104
13-Jun-2020,1.27302235606477,1.31948733066296
14-Jun-2020,1.3168946842936,1.29988527089018
15-Jun-2020,1.33769147895783,1.14625524094018
16-Jun-2020,1.32647537090396,1.18306768437486
17-Jun-2020,1.37769757777939,1.11031899253451
18-Jun-2020,1.40994521397971,1.11368789298032
19-Jun-2020,1.46053700385187,1.1900860632439
20-Jun-2020,1.44357137507147,1.28565159774333
21-Jun-2020,1.45791978577506,1.39613119875955
22-Jun-2020,1.49497559417501,1.45691116291053
23-Jun-2020,1.49905423751962,1.38158655183996
24-Jun-2020,1.50334155786639,1.42184856427933
25-Jun-2020,1.51186212028118,1.41208552126751
26-Jun-2020,1.44328092766336,1.40744637413419
27-Jun-2020,1.42410994344484,1.42919843621933
