date,amount,total,countDeadAvg7days
2020-08-19T00:00:00.000Z,12,800,13.0
2020-08-20T00:00:00.000Z,14,814,12.0
2020-08-21T00:00:00.000Z,13,827,12.0
2020-08-22T00:00:00.000Z,10,837,12.0
2020-08-23T00:00:00.000Z,13,850,12.0
2020-08-24T00:00:00.000Z,16,866,11.0
2020-08-25T00:00:00.000Z,19,885,13.0
2020-08-26T00:00:00.000Z,11,896,13.0
2020-08-27T00:00:00.000Z,11,907,13.0
2020-08-28T00:00:00.000Z,13,920,13.0
2020-08-29T00:00:00.000Z,5,925,13.0
2020-08-30T00:00:00.000Z,14,939,12.0
2020-08-31T00:00:00.000Z,23,962,12.0
2020-09-01T00:00:00.000Z,15,977,13.0
2020-09-02T00:00:00.000Z,13,990,13.0
2020-09-03T00:00:00.000Z,16,1006,13.0
2020-09-04T00:00:00.000Z,12,1018,14.0
2020-09-05T00:00:00.000Z,15,1033,14.0
2020-09-06T00:00:00.000Z,12,1045,15.0
2020-09-07T00:00:00.000Z,17,1062,15.0
2020-09-08T00:00:00.000Z,20,1082,14.0
2020-09-09T00:00:00.000Z,15,1097,15.0
2020-09-10T00:00:00.000Z,14,1111,15.0
2020-09-11T00:00:00.000Z,20,1131,15.0
2020-09-12T00:00:00.000Z,15,1146,16.0
2020-09-13T00:00:00.000Z,17,1163,16.0
2020-09-14T00:00:00.000Z,20,1183,16.0
2020-09-15T00:00:00.000Z,16,1199,17.0
2020-09-16T00:00:00.000Z,26,1225,16.0
2020-09-17T00:00:00.000Z,17,1242,18.0
2020-09-18T00:00:00.000Z,21,1263,18.0
2020-09-19T00:00:00.000Z,28,1291,18.0
2020-09-20T00:00:00.000Z,21,1312,20.0
2020-09-21T00:00:00.000Z,32,1344,21.0
2020-09-22T00:00:00.000Z,25,1369,23.0
2020-09-23T00:00:00.000Z,25,1394,24.0
2020-09-24T00:00:00.000Z,31,1425,24.0
2020-09-25T00:00:00.000Z,29,1454,26.0
2020-09-26T00:00:00.000Z,27,1481,27.0
2020-09-27T00:00:00.000Z,31,1512,27.0
2020-09-28T00:00:00.000Z,29,1541,28.0
2020-09-29T00:00:00.000Z,35,1576,28.0
2020-09-30T00:00:00.000Z,37,1613,29.0
2020-10-01T00:00:00.000Z,46,1659,31.0
2020-10-02T00:00:00.000Z,25,1684,33.0
2020-10-03T00:00:00.000Z,38,1722,32.0
2020-10-04T00:00:00.000Z,37,1759,34.0
2020-10-05T00:00:00.000Z,27,1786,35.0
2020-10-06T00:00:00.000Z,45,1831,35.0
2020-10-07T00:00:00.000Z,26,1857,36.0
2020-10-08T00:00:00.000Z,47,1904,34.0
2020-10-09T00:00:00.000Z,40,1944,35.0
2020-10-10T00:00:00.000Z,35,1979,37.0
2020-10-11T00:00:00.000Z,45,2024,36.0
2020-10-12T00:00:00.000Z,30,2054,37.0
2020-10-13T00:00:00.000Z,37,2091,38.0
2020-10-14T00:00:00.000Z,34,2125,37.0
2020-10-15T00:00:00.000Z,32,2157,38.0
2020-10-16T00:00:00.000Z,35,2192,36.0
2020-10-17T00:00:00.000Z,32,2224,35.0
2020-10-18T00:00:00.000Z,33,2257,35.0
2020-10-19T00:00:00.000Z,31,2288,33.0
2020-10-20T00:00:00.000Z,20,2308,33.0
2020-10-21T00:00:00.000Z,25,2333,31.0
2020-10-22T00:00:00.000Z,29,2362,29.0
2020-10-23T00:00:00.000Z,26,2388,29.0
2020-10-24T00:00:00.000Z,26,2414,28.0
2020-10-25T00:00:00.000Z,34,2448,27.0
2020-10-26T00:00:00.000Z,28,2476,27.0
2020-10-27T00:00:00.000Z,28,2504,26.0
2020-10-28T00:00:00.000Z,10,2514,28.0
2020-10-29T00:00:00.000Z,19,2533,25.0
2020-10-30T00:00:00.000Z,12,2545,24.0
2020-10-31T00:00:00.000Z,25,2570,22.0
2020-11-01T00:00:00.000Z,19,2589,22.0
2020-11-02T00:00:00.000Z,15,2604,20.0
2020-11-03T00:00:00.000Z,26,2630,18.0
2020-11-04T00:00:00.000Z,15,2645,18.0
2020-11-05T00:00:00.000Z,14,2659,18.0
2020-11-06T00:00:00.000Z,16,2675,18.0
2020-11-07T00:00:00.000Z,8,2683,18.0
2020-11-08T00:00:00.000Z,7,2690,16.0
2020-11-09T00:00:00.000Z,8,2698,14.0
2020-11-10T00:00:00.000Z,10,2708,13.0
2020-11-11T00:00:00.000Z,7,2715,11.0
2020-11-12T00:00:00.000Z,12,2727,10.0
2020-11-13T00:00:00.000Z,5,2732,9.0
2020-11-14T00:00:00.000Z,11,2743,8.0
2020-11-15T00:00:00.000Z,14,2757,8.0
2020-11-16T00:00:00.000Z,9,2766,9.0
2020-11-17T00:00:00.000Z,12,2778,9.0
2020-11-18T00:00:00.000Z,7,2785,10.0
2020-11-19T00:00:00.000Z,8,2793,10.0
2020-11-20T00:00:00.000Z,6,2799,9.0
2020-11-21T00:00:00.000Z,12,2811,9.0
2020-11-22T00:00:00.000Z,16,2827,9.0
2020-11-23T00:00:00.000Z,7,2834,10.0
2020-11-24T00:00:00.000Z,5,2839,9.0
2020-11-25T00:00:00.000Z,5,2844,8.0
2020-11-26T00:00:00.000Z,9,2853,8.0
2020-11-27T00:00:00.000Z,7,2860,8.0
2020-11-28T00:00:00.000Z,9,2869,8.0
2020-11-29T00:00:00.000Z,10,2879,8.0
2020-11-30T00:00:00.000Z,6,2885,7.0
2020-12-01T00:00:00.000Z,10,2895,7.0
2020-12-02T00:00:00.000Z,5,2900,8.0
2020-12-03T00:00:00.000Z,10,2910,8.0
2020-12-04T00:00:00.000Z,9,2919,8.0
2020-12-05T00:00:00.000Z,10,2929,8.0
2020-12-06T00:00:00.000Z,8,2937,8.0
2020-12-07T00:00:00.000Z,7,2944,8.0
2020-12-08T00:00:00.000Z,12,2956,8.0
2020-12-09T00:00:00.000Z,13,2969,8.0
2020-12-10T00:00:00.000Z,13,2982,9.0
2020-12-11T00:00:00.000Z,11,2993,10.0
2020-12-12T00:00:00.000Z,16,3009,10.0
2020-12-13T00:00:00.000Z,9,3018,11.0
2020-12-14T00:00:00.000Z,11,3029,11.0
2020-12-15T00:00:00.000Z,15,3044,12.0
2020-12-16T00:00:00.000Z,15,3059,12.0
2020-12-17T00:00:00.000Z,17,3076,12.0
2020-12-18T00:00:00.000Z,16,3092,13.0
2020-12-19T00:00:00.000Z,20,3112,14.0
2020-12-20T00:00:00.000Z,18,3130,14.0
2020-12-21T00:00:00.000Z,16,3146,16.0
2020-12-22T00:00:00.000Z,13,3159,16.0
2020-12-23T00:00:00.000Z,25,3184,16.0
2020-12-24T00:00:00.000Z,15,3199,17.0
2020-12-25T00:00:00.000Z,21,3220,17.0
2020-12-26T00:00:00.000Z,23,3243,18.0
2020-12-27T00:00:00.000Z,21,3264,18.0
2020-12-28T00:00:00.000Z,32,3296,19.0
2020-12-29T00:00:00.000Z,25,3321,21.0
2020-12-30T00:00:00.000Z,16,3337,23.0
2020-12-31T00:00:00.000Z,36,3373,21.0
2021-01-01T00:00:00.000Z,34,3407,24.0
2021-01-02T00:00:00.000Z,27,3434,26.0
2021-01-03T00:00:00.000Z,26,3460,27.0
2021-01-04T00:00:00.000Z,38,3498,28.0
2021-01-05T00:00:00.000Z,23,3521,28.0
2021-01-06T00:00:00.000Z,43,3564,28.0
2021-01-07T00:00:00.000Z,48,3612,32.0
2021-01-08T00:00:00.000Z,46,3658,34.0
2021-01-09T00:00:00.000Z,20,3678,35.0
2021-01-10T00:00:00.000Z,43,3721,34.0
2021-01-11T00:00:00.000Z,28,3749,37.0
2021-01-12T00:00:00.000Z,55,3804,35.0
2021-01-13T00:00:00.000Z,57,3861,40.0
2021-01-14T00:00:00.000Z,59,3920,42.0
2021-01-15T00:00:00.000Z,52,3972,44.0
2021-01-16T00:00:00.000Z,47,4019,44.0
2021-01-17T00:00:00.000Z,56,4075,48.0
2021-01-18T00:00:00.000Z,46,4121,50.0
2021-01-19T00:00:00.000Z,43,4164,53.0
2021-01-20T00:00:00.000Z,57,4221,51.0
2021-01-21T00:00:00.000Z,47,4268,51.0
2021-01-22T00:00:00.000Z,65,4333,49.0
2021-01-23T00:00:00.000Z,52,4385,51.0
2021-01-24T00:00:00.000Z,75,4460,52.0
2021-01-25T00:00:00.000Z,60,4520,55.0
2021-01-26T00:00:00.000Z,53,4573,57.0
2021-01-27T00:00:00.000Z,61,4634,58.0
2021-01-28T00:00:00.000Z,49,4683,59.0
2021-01-29T00:00:00.000Z,45,4728,59.0
2021-01-30T00:00:00.000Z,38,4766,56.0
2021-01-31T00:00:00.000Z,51,4817,54.0
2021-02-01T00:00:00.000Z,46,4863,51.0
2021-02-02T00:00:00.000Z,61,4924,49.0
2021-02-03T00:00:00.000Z,57,4981,50.0
2021-02-04T00:00:00.000Z,48,5029,49.0
2021-02-05T00:00:00.000Z,34,5063,49.0
2021-02-06T00:00:00.000Z,51,5114,47.0
2021-02-07T00:00:00.000Z,44,5158,49.0
2021-02-08T00:00:00.000Z,30,5188,48.0
2021-02-09T00:00:00.000Z,42,5230,46.0
2021-02-10T00:00:00.000Z,32,5262,43.0
2021-02-11T00:00:00.000Z,30,5292,40.0
2021-02-12T00:00:00.000Z,41,5333,37.0
2021-02-13T00:00:00.000Z,29,5362,38.0
2021-02-14T00:00:00.000Z,37,5399,35.0
2021-02-15T00:00:00.000Z,16,5415,34.0
2021-02-16T00:00:00.000Z,42,5457,32.0
2021-02-17T00:00:00.000Z,27,5484,32.0
2021-02-18T00:00:00.000Z,35,5519,31.0
2021-02-19T00:00:00.000Z,22,5541,32.0
2021-02-20T00:00:00.000Z,26,5567,29.0
