first_week_day,last_week_day,age_group,gender,weekly_test_num,weekly_newly_tested,weekly_cases,weekly_deceased
5/4/2020,11/4/2020,50-54,NULL,45,45,0,0
5/4/2020,11/4/2020,50-54,זכר,1432,1082,75,0
5/4/2020,11/4/2020,50-54,נקבה,1487,1129,75,<15
5/4/2020,11/4/2020,55-59,NULL,45,44,0,0
5/4/2020,11/4/2020,55-59,זכר,1367,1038,77,0
5/4/2020,11/4/2020,55-59,נקבה,1326,1022,70,0
5/4/2020,11/4/2020,60-64,NULL,32,32,0,0
5/4/2020,11/4/2020,60-64,זכר,1225,881,73,<15
5/4/2020,11/4/2020,60-64,נקבה,1061,823,50,0
5/4/2020,11/4/2020,65-69,NULL,23,23,0,0
5/4/2020,11/4/2020,65-69,זכר,966,674,64,<15
5/4/2020,11/4/2020,65-69,נקבה,816,627,41,<15
5/4/2020,11/4/2020,70-74,NULL,<15,<15,0,0
5/4/2020,11/4/2020,70-74,זכר,713,485,34,<15
5/4/2020,11/4/2020,70-74,נקבה,643,479,37,<15
5/4/2020,11/4/2020,75-79,NULL,<15,<15,0,0
5/4/2020,11/4/2020,75-79,זכר,442,298,19,<15
5/4/2020,11/4/2020,75-79,נקבה,467,348,24,<15
5/4/2020,11/4/2020,NULL,NULL,175,165,<15,0
5/4/2020,11/4/2020,NULL,זכר,987,791,67,<15
5/4/2020,11/4/2020,NULL,נקבה,866,689,53,<15
12/4/2020,18/4/2020,>=80,NULL,80,79,0,0
12/4/2020,18/4/2020,>=80,זכר,2666,2119,40,18
12/4/2020,18/4/2020,>=80,נקבה,5861,4935,78,20
12/4/2020,18/4/2020,0-19,NULL,118,118,0,0
12/4/2020,18/4/2020,0-19,זכר,5063,3164,336,0
12/4/2020,18/4/2020,0-19,נקבה,4327,2667,382,0
12/4/2020,18/4/2020,20-24,NULL,78,75,0,0
12/4/2020,18/4/2020,20-24,זכר,4459,2926,183,0
12/4/2020,18/4/2020,20-24,נקבה,3477,2295,153,0
12/4/2020,18/4/2020,25-29,NULL,83,82,0,0
12/4/2020,18/4/2020,25-29,זכר,3830,2608,109,0
12/4/2020,18/4/2020,25-29,נקבה,3055,2071,89,<15
12/4/2020,18/4/2020,30-34,NULL,66,65,0,0
12/4/2020,18/4/2020,30-34,זכר,3279,2203,84,0
12/4/2020,18/4/2020,30-34,נקבה,2531,1797,73,0
12/4/2020,18/4/2020,35-39,NULL,53,53,0,0
12/4/2020,18/4/2020,35-39,זכר,2768,1839,77,0
12/4/2020,18/4/2020,35-39,נקבה,2367,1708,56,0
12/4/2020,18/4/2020,40-44,NULL,58,57,0,0
12/4/2020,18/4/2020,40-44,זכר,2416,1614,58,0
12/4/2020,18/4/2020,40-44,נקבה,2299,1664,65,<15
12/4/2020,18/4/2020,45-49,NULL,51,51,0,0
12/4/2020,18/4/2020,45-49,זכר,2445,1540,78,0
12/4/2020,18/4/2020,45-49,נקבה,2497,1782,86,0
12/4/2020,18/4/2020,50-54,NULL,43,43,<15,0
12/4/2020,18/4/2020,50-54,זכר,2267,1431,83,0
12/4/2020,18/4/2020,50-54,נקבה,2281,1656,66,0
12/4/2020,18/4/2020,55-59,NULL,52,52,0,0
12/4/2020,18/4/2020,55-59,זכר,1945,1155,59,0
12/4/2020,18/4/2020,55-59,נקבה,2220,1588,48,0
12/4/2020,18/4/2020,60-64,NULL,58,57,0,0
12/4/2020,18/4/2020,60-64,זכר,1926,1194,44,<15
12/4/2020,18/4/2020,60-64,נקבה,1863,1387,42,0
12/4/2020,18/4/2020,65-69,NULL,35,35,0,0
12/4/2020,18/4/2020,65-69,זכר,1582,994,47,<15
12/4/2020,18/4/2020,65-69,נקבה,1430,1100,32,0
12/4/2020,18/4/2020,70-74,NULL,28,28,0,0
12/4/2020,18/4/2020,70-74,זכר,1283,906,33,<15
12/4/2020,18/4/2020,70-74,נקבה,1337,1042,38,<15
12/4/2020,18/4/2020,75-79,NULL,23,23,0,0
12/4/2020,18/4/2020,75-79,זכר,867,620,17,<15
12/4/2020,18/4/2020,75-79,נקבה,1045,845,23,<15
12/4/2020,18/4/2020,NULL,NULL,619,607,26,0
12/4/2020,18/4/2020,NULL,זכר,1839,1310,82,<15
12/4/2020,18/4/2020,NULL,נקבה,2034,1643,61,<15
19/4/2020,25/4/2020,>=80,NULL,19,17,0,0
19/4/2020,25/4/2020,>=80,זכר,2892,2064,24,<15
19/4/2020,25/4/2020,>=80,נקבה,6147,4676,36,<15
19/4/2020,25/4/2020,0-19,NULL,404,398,<15,0
19/4/2020,25/4/2020,0-19,זכר,6714,4329,343,0
19/4/2020,25/4/2020,0-19,נקבה,5315,3294,290,0
19/4/2020,25/4/2020,20-24,NULL,65,63,0,0
19/4/2020,25/4/2020,20-24,זכר,5182,3595,122,0
19/4/2020,25/4/2020,20-24,נקבה,3782,2578,107,0
19/4/2020,25/4/2020,25-29,NULL,39,37,0,0
19/4/2020,25/4/2020,25-29,זכר,4288,2992,84,0
19/4/2020,25/4/2020,25-29,נקבה,3627,2555,75,0
19/4/2020,25/4/2020,30-34,NULL,34,34,0,0
19/4/2020,25/4/2020,30-34,זכר,3626,2585,55,0
19/4/2020,25/4/2020,30-34,נקבה,3051,2223,46,0
19/4/2020,25/4/2020,35-39,NULL,37,37,0,0
19/4/2020,25/4/2020,35-39,זכר,3060,2192,41,0
19/4/2020,25/4/2020,35-39,נקבה,2701,1988,40,0
19/4/2020,25/4/2020,40-44,NULL,38,38,0,0
19/4/2020,25/4/2020,40-44,זכר,2759,1998,35,0
19/4/2020,25/4/2020,40-44,נקבה,2625,1847,45,0
19/4/2020,25/4/2020,45-49,NULL,20,20,0,0
19/4/2020,25/4/2020,45-49,זכר,2660,1868,45,<15
19/4/2020,25/4/2020,45-49,נקבה,2808,1936,46,0
19/4/2020,25/4/2020,50-54,NULL,38,38,0,0
19/4/2020,25/4/2020,50-54,זכר,2198,1520,42,0
19/4/2020,25/4/2020,50-54,נקבה,2639,1886,34,<15
19/4/2020,25/4/2020,55-59,NULL,22,22,0,0
19/4/2020,25/4/2020,55-59,זכר,2081,1343,24,<15
19/4/2020,25/4/2020,55-59,נקבה,2463,1680,39,<15
19/4/2020,25/4/2020,60-64,NULL,22,22,0,0
19/4/2020,25/4/2020,60-64,זכר,1929,1267,22,<15
19/4/2020,25/4/2020,60-64,נקבה,2129,1481,20,0
19/4/2020,25/4/2020,65-69,NULL,<15,<15,0,0
19/4/2020,25/4/2020,65-69,זכר,1753,1128,17,<15
19/4/2020,25/4/2020,65-69,נקבה,1669,1199,15,<15
19/4/2020,25/4/2020,70-74,NULL,<15,<15,0,0
19/4/2020,25/4/2020,70-74,זכר,1535,1033,15,<15
19/4/2020,25/4/2020,70-74,נקבה,1577,1144,<15,<15
19/4/2020,25/4/2020,75-79,NULL,<15,<15,0,0
19/4/2020,25/4/2020,75-79,זכר,996,651,<15,<15
19/4/2020,25/4/2020,75-79,נקבה,1292,958,15,<15
19/4/2020,25/4/2020,NULL,NULL,378,361,16,0
19/4/2020,25/4/2020,NULL,זכר,2056,1558,65,<15
19/4/2020,25/4/2020,NULL,נקבה,2501,2161,51,<15
26/4/2020,2/5/2020,>=80,NULL,<15,<15,0,0
26/4/2020,2/5/2020,>=80,זכר,2097,1263,<15,16
26/4/2020,2/5/2020,>=80,נקבה,4393,2868,19,<15
26/4/2020,2/5/2020,0-19,NULL,242,235,0,0
26/4/2020,2/5/2020,0-19,זכר,5136,3045,160,0
26/4/2020,2/5/2020,0-19,נקבה,3844,2008,128,0
26/4/2020,2/5/2020,20-24,NULL,<15,<15,0,0
26/4/2020,2/5/2020,20-24,זכר,3501,2321,62,0
26/4/2020,2/5/2020,20-24,נקבה,2726,1722,42,0
26/4/2020,2/5/2020,25-29,NULL,<15,<15,0,0
26/4/2020,2/5/2020,25-29,זכר,2706,1705,37,0
26/4/2020,2/5/2020,25-29,נקבה,2555,1673,30,0
26/4/2020,2/5/2020,30-34,NULL,<15,<15,0,0
26/4/2020,2/5/2020,30-34,זכר,2423,1622,22,0
26/4/2020,2/5/2020,30-34,נקבה,2254,1567,20,0
26/4/2020,2/5/2020,35-39,NULL,15,<15,0,0
26/4/2020,2/5/2020,35-39,זכר,2166,1447,<15,0
26/4/2020,2/5/2020,35-39,נקבה,2086,1426,19,0
26/4/2020,2/5/2020,40-44,NULL,<15,<15,0,0
26/4/2020,2/5/2020,40-44,זכר,2018,1385,<15,0
26/4/2020,2/5/2020,40-44,נקבה,1958,1315,17,0
26/4/2020,2/5/2020,45-49,NULL,<15,<15,0,0
26/4/2020,2/5/2020,45-49,זכר,1942,1296,16,0
26/4/2020,2/5/2020,45-49,נקבה,2082,1394,16,0
26/4/2020,2/5/2020,50-54,NULL,<15,<15,0,0
26/4/2020,2/5/2020,50-54,זכר,1788,1147,<15,0
26/4/2020,2/5/2020,50-54,נקבה,1893,1277,<15,0
26/4/2020,2/5/2020,55-59,NULL,<15,<15,0,0
26/4/2020,2/5/2020,55-59,זכר,1622,1032,<15,0
26/4/2020,2/5/2020,55-59,נקבה,1805,1176,19,0
26/4/2020,2/5/2020,60-64,NULL,<15,<15,0,0
26/4/2020,2/5/2020,60-64,זכר,1533,933,<15,<15
26/4/2020,2/5/2020,60-64,נקבה,1660,1136,<15,<15
26/4/2020,2/5/2020,65-69,NULL,<15,<15,0,0
26/4/2020,2/5/2020,65-69,זכר,1391,877,<15,<15
26/4/2020,2/5/2020,65-69,נקבה,1362,948,<15,<15
26/4/2020,2/5/2020,70-74,NULL,<15,<15,0,0
26/4/2020,2/5/2020,70-74,זכר,1162,709,<15,<15
26/4/2020,2/5/2020,70-74,נקבה,1160,737,<15,<15
26/4/2020,2/5/2020,75-79,NULL,<15,<15,0,0
26/4/2020,2/5/2020,75-79,זכר,738,438,<15,<15
26/4/2020,2/5/2020,75-79,נקבה,844,545,<15,<15
26/4/2020,2/5/2020,NULL,NULL,117,104,<15,0
26/4/2020,2/5/2020,NULL,זכר,1885,1341,49,<15
26/4/2020,2/5/2020,NULL,נקבה,1980,1560,32,0
3/5/2020,9/5/2020,>=80,NULL,<15,<15,0,0
3/5/2020,9/5/2020,>=80,זכר,2367,1393,<15,<15
3/5/2020,9/5/2020,>=80,נקבה,4921,2987,<15,<15
3/5/2020,9/5/2020,0-19,NULL,69,60,0,0
3/5/2020,9/5/2020,0-19,זכר,3459,2128,50,0
3/5/2020,9/5/2020,0-19,נקבה,2835,1683,40,0
3/5/2020,9/5/2020,20-24,NULL,<15,<15,0,0
3/5/2020,9/5/2020,20-24,זכר,2248,1434,21,0
3/5/2020,9/5/2020,20-24,נקבה,2138,1349,17,0
3/5/2020,9/5/2020,25-29,NULL,<15,<15,0,0
3/5/2020,9/5/2020,25-29,זכר,2192,1447,<15,0
3/5/2020,9/5/2020,25-29,נקבה,2327,1537,<15,0
3/5/2020,9/5/2020,30-34,NULL,<15,<15,0,0
3/5/2020,9/5/2020,30-34,זכר,2038,1391,<15,0
3/5/2020,9/5/2020,30-34,נקבה,2129,1478,<15,0
3/5/2020,9/5/2020,35-39,NULL,<15,<15,0,0
3/5/2020,9/5/2020,35-39,זכר,1938,1387,<15,0
3/5/2020,9/5/2020,35-39,נקבה,2091,1505,<15,0
3/5/2020,9/5/2020,40-44,NULL,<15,<15,0,0
3/5/2020,9/5/2020,40-44,זכר,1802,1369,<15,0
3/5/2020,9/5/2020,40-44,נקבה,2455,1811,<15,0
3/5/2020,9/5/2020,45-49,NULL,<15,<15,0,0
3/5/2020,9/5/2020,45-49,זכר,1815,1283,<15,0
3/5/2020,9/5/2020,45-49,נקבה,1975,1342,<15,0
3/5/2020,9/5/2020,50-54,NULL,<15,<15,0,0
3/5/2020,9/5/2020,50-54,זכר,1526,1012,<15,0
3/5/2020,9/5/2020,50-54,נקבה,1757,1146,<15,0
3/5/2020,9/5/2020,55-59,NULL,<15,<15,0,0
3/5/2020,9/5/2020,55-59,זכר,1224,725,<15,0
3/5/2020,9/5/2020,55-59,נקבה,1622,1037,<15,0
3/5/2020,9/5/2020,60-64,NULL,<15,<15,0,0
3/5/2020,9/5/2020,60-64,זכר,1238,747,<15,0
3/5/2020,9/5/2020,60-64,נקבה,1445,920,<15,0
3/5/2020,9/5/2020,65-69,NULL,<15,<15,0,0
3/5/2020,9/5/2020,65-69,זכר,1184,704,<15,<15
3/5/2020,9/5/2020,65-69,נקבה,1131,733,<15,0
3/5/2020,9/5/2020,70-74,NULL,<15,<15,0,0
3/5/2020,9/5/2020,70-74,זכר,1069,616,<15,<15
3/5/2020,9/5/2020,70-74,נקבה,1109,711,<15,0
3/5/2020,9/5/2020,75-79,NULL,<15,<15,0,0
3/5/2020,9/5/2020,75-79,זכר,746,431,<15,<15
3/5/2020,9/5/2020,75-79,נקבה,890,545,<15,<15
3/5/2020,9/5/2020,NULL,NULL,208,198,<15,0
3/5/2020,9/5/2020,NULL,זכר,1772,1255,<15,<15
3/5/2020,9/5/2020,NULL,נקבה,2043,1680,<15,<15
10/5/2020,16/5/2020,>=80,NULL,<15,<15,0,0
10/5/2020,16/5/2020,>=80,זכר,2072,986,<15,<15
10/5/2020,16/5/2020,>=80,נקבה,4771,2438,<15,<15
10/5/2020,16/5/2020,0-19,NULL,<15,<15,0,0
10/5/2020,16/5/2020,0-19,זכר,2724,1613,20,0
10/5/2020,16/5/2020,0-19,נקבה,2313,1352,21,0
10/5/2020,16/5/2020,20-24,NULL,<15,<15,0,0
10/5/2020,16/5/2020,20-24,זכר,1654,1010,<15,0
10/5/2020,16/5/2020,20-24,נקבה,1642,1060,<15,0
10/5/2020,16/5/2020,25-29,NULL,<15,<15,0,0
10/5/2020,16/5/2020,25-29,זכר,1418,866,<15,0
10/5/2020,16/5/2020,25-29,נקבה,1704,1140,<15,0
10/5/2020,16/5/2020,30-34,NULL,<15,<15,0,0
10/5/2020,16/5/2020,30-34,זכר,1353,925,<15,0
10/5/2020,16/5/2020,30-34,נקבה,1625,1139,<15,0
10/5/2020,16/5/2020,35-39,NULL,<15,<15,0,0
10/5/2020,16/5/2020,35-39,זכר,1294,931,<15,0
10/5/2020,16/5/2020,35-39,נקבה,1729,1248,<15,0
10/5/2020,16/5/2020,40-44,NULL,0,0,0,0
10/5/2020,16/5/2020,40-44,זכר,1245,904,<15,0
10/5/2020,16/5/2020,40-44,נקבה,1852,1273,<15,0
10/5/2020,16/5/2020,45-49,NULL,<15,<15,0,0
10/5/2020,16/5/2020,45-49,זכר,1180,795,<15,0
10/5/2020,16/5/2020,45-49,נקבה,1484,883,<15,0
10/5/2020,16/5/2020,50-54,NULL,<15,<15,0,0
10/5/2020,16/5/2020,50-54,זכר,958,645,<15,0
10/5/2020,16/5/2020,50-54,נקבה,1262,744,<15,<15
10/5/2020,16/5/2020,55-59,NULL,0,0,0,0
10/5/2020,16/5/2020,55-59,זכר,851,524,<15,0
10/5/2020,16/5/2020,55-59,נקבה,1200,645,<15,0
10/5/2020,16/5/2020,60-64,NULL,<15,<15,0,0
10/5/2020,16/5/2020,60-64,זכר,875,504,<15,<15
10/5/2020,16/5/2020,60-64,נקבה,1143,694,<15,0
10/5/2020,16/5/2020,65-69,NULL,<15,<15,0,0
10/5/2020,16/5/2020,65-69,זכר,931,503,<15,0
10/5/2020,16/5/2020,65-69,נקבה,1106,663,<15,0
10/5/2020,16/5/2020,70-74,NULL,<15,<15,0,0
10/5/2020,16/5/2020,70-74,זכר,971,537,<15,<15
10/5/2020,16/5/2020,70-74,נקבה,1129,685,<15,0
10/5/2020,16/5/2020,75-79,NULL,<15,<15,0,0
10/5/2020,16/5/2020,75-79,זכר,639,301,<15,<15
10/5/2020,16/5/2020,75-79,נקבה,847,457,<15,<15
10/5/2020,16/5/2020,NULL,NULL,201,193,<15,0
10/5/2020,16/5/2020,NULL,זכר,1388,1003,<15,<15
10/5/2020,16/5/2020,NULL,נקבה,1674,1336,<15,0
17/5/2020,23/5/2020,>=80,NULL,<15,<15,0,0
17/5/2020,23/5/2020,>=80,זכר,1606,755,<15,<15
17/5/2020,23/5/2020,>=80,נקבה,3388,1350,0,<15
17/5/2020,23/5/2020,0-19,NULL,32,31,0,0
17/5/2020,23/5/2020,0-19,זכר,2684,1866,15,0
17/5/2020,23/5/2020,0-19,נקבה,2126,1471,22,0
17/5/2020,23/5/2020,20-24,NULL,0,0,0,0
17/5/2020,23/5/2020,20-24,זכר,1206,750,<15,0
17/5/2020,23/5/2020,20-24,נקבה,1305,834,<15,0
17/5/2020,23/5/2020,25-29,NULL,0,0,0,0
17/5/2020,23/5/2020,25-29,זכר,1233,772,<15,0
17/5/2020,23/5/2020,25-29,נקבה,1609,1132,<15,0
17/5/2020,23/5/2020,30-34,NULL,<15,<15,0,0
17/5/2020,23/5/2020,30-34,זכר,1231,844,<15,<15
17/5/2020,23/5/2020,30-34,נקבה,1614,1157,<15,0
17/5/2020,23/5/2020,35-39,NULL,0,0,0,0
17/5/2020,23/5/2020,35-39,זכר,1219,890,<15,0
17/5/2020,23/5/2020,35-39,נקבה,1596,1154,<15,0
17/5/2020,23/5/2020,40-44,NULL,0,0,0,0
17/5/2020,23/5/2020,40-44,זכר,975,685,<15,0
17/5/2020,23/5/2020,40-44,נקבה,1476,944,<15,0
17/5/2020,23/5/2020,45-49,NULL,<15,<15,0,0
17/5/2020,23/5/2020,45-49,זכר,883,550,<15,0
17/5/2020,23/5/2020,45-49,נקבה,1097,614,<15,0
17/5/2020,23/5/2020,50-54,NULL,<15,<15,0,0
17/5/2020,23/5/2020,50-54,זכר,714,410,<15,0
17/5/2020,23/5/2020,50-54,נקבה,976,543,<15,0
